analysis_tier,dataset,model,corruption_scope,severity,method,bin,lower,upper,count,confidence,accuracy,mean_ece_from_metrics,std_ece_from_metrics,n_replicates,source_condition_count
secondary/exploratory,hushem,resnet50,pooled_7_device_corruptions,5,temperature,1,0.06666666666666667,0.13333333333333333,0,,,0.19791169490106006,0.030481765252191175,5,35
secondary/exploratory,hushem,resnet50,pooled_7_device_corruptions,5,temperature,2,0.13333333333333333,0.2,0,,,0.19791169490106006,0.030481765252191175,5,35
secondary/exploratory,hushem,resnet50,pooled_7_device_corruptions,5,temperature,3,0.2,0.26666666666666666,1,0.2647666037082672,0.0,0.19791169490106006,0.030481765252191175,5,35
secondary/exploratory,hushem,resnet50,pooled_7_device_corruptions,5,temperature,4,0.26666666666666666,0.3333333333333333,92,0.3117572891971339,0.29347826086956524,0.19791169490106006,0.030481765252191175,5,35
secondary/exploratory,hushem,resnet50,pooled_7_device_corruptions,5,temperature,5,0.3333333333333333,0.4,217,0.3688543415563996,0.4377880184331797,0.19791169490106006,0.030481765252191175,5,35
secondary/exploratory,hushem,resnet50,pooled_7_device_corruptions,5,temperature,6,0.4,0.4666666666666667,256,0.431562555488199,0.47265625,0.19791169490106006,0.030481765252191175,5,35
secondary/exploratory,hushem,resnet50,pooled_7_device_corruptions,5,temperature,7,0.4666666666666667,0.5333333333333333,220,0.500020070374012,0.5590909090909091,0.19791169490106006,0.030481765252191175,5,35
secondary/exploratory,hushem,resnet50,pooled_7_device_corruptions,5,temperature,8,0.5333333333333333,0.6,139,0.5615718596273189,0.5683453237410072,0.19791169490106006,0.030481765252191175,5,35
secondary/exploratory,hushem,resnet50,pooled_7_device_corruptions,5,temperature,9,0.6,0.6666666666666666,130,0.6325228879084954,0.6923076923076923,0.19791169490106006,0.030481765252191175,5,35
secondary/exploratory,hushem,resnet50,pooled_7_device_corruptions,5,temperature,10,0.6666666666666666,0.7333333333333333,116,0.6996869825083634,0.646551724137931,0.19791169490106006,0.030481765252191175,5,35
secondary/exploratory,hushem,resnet50,pooled_7_device_corruptions,5,temperature,11,0.7333333333333333,0.8,101,0.7665990054017247,0.7227722772277227,0.19791169490106006,0.030481765252191175,5,35
secondary/exploratory,hushem,resnet50,pooled_7_device_corruptions,5,temperature,12,0.8,0.8666666666666667,75,0.8316735013326009,0.7333333333333333,0.19791169490106006,0.030481765252191175,5,35
secondary/exploratory,hushem,resnet50,pooled_7_device_corruptions,5,temperature,13,0.8666666666666667,0.9333333333333333,96,0.9009369785586993,0.8125,0.19791169490106006,0.030481765252191175,5,35
secondary/exploratory,hushem,resnet50,pooled_7_device_corruptions,5,temperature,14,0.9333333333333333,1.0,69,0.9666000811950021,0.8985507246376812,0.19791169490106006,0.030481765252191175,5,35
secondary/exploratory,smids,mobilenet_v3_large,clean,0,raw_softmax,0,0.0,0.06666666666666667,0,,,0.03958280318313167,0.0059184862295023335,3,3
secondary/exploratory,smids,mobilenet_v3_large,clean,0,raw_softmax,1,0.06666666666666667,0.13333333333333333,0,,,0.03958280318313167,0.0059184862295023335,3,3
secondary/exploratory,smids,mobilenet_v3_large,clean,0,raw_softmax,2,0.13333333333333333,0.2,0,,,0.03958280318313167,0.0059184862295023335,3,3
secondary/exploratory,smids,mobilenet_v3_large,clean,0,raw_softmax,3,0.2,0.26666666666666666,0,,,0.03958280318313167,0.0059184862295023335,3,3
secondary/exploratory,smids,mobilenet_v3_large,clean,0,raw_softmax,4,0.26666666666666666,0.3333333333333333,0,,,0.03958280318313167,0.0059184862295023335,3,3
secondary/exploratory,smids,mobilenet_v3_large,clean,0,raw_softmax,5,0.3333333333333333,0.4,1,0.37986716628074646,0.0,0.03958280318313167,0.0059184862295023335,3,3
secondary/exploratory,smids,mobilenet_v3_large,clean,0,raw_softmax,6,0.4,0.4666666666666667,5,0.4502087473869324,0.4,0.03958280318313167,0.0059184862295023335,3,3
secondary/exploratory,smids,mobilenet_v3_large,clean,0,raw_softmax,7,0.4666666666666667,0.5333333333333333,16,0.517004182562232,0.5625,0.03958280318313167,0.0059184862295023335,3,3
secondary/exploratory,smids,mobilenet_v3_large,clean,0,raw_softmax,8,0.5333333333333333,0.6,24,0.5609503015875816,0.5416666666666666,0.03958280318313167,0.0059184862295023335,3,3
secondary/exploratory,smids,mobilenet_v3_large,clean,0,raw_softmax,9,0.6,0.6666666666666666,30,0.6340215504169464,0.6333333333333333,0.03958280318313167,0.0059184862295023335,3,3
secondary/exploratory,smids,mobilenet_v3_large,clean,0,raw_softmax,10,0.6666666666666666,0.7333333333333333,32,0.7056423239409924,0.625,0.03958280318313167,0.0059184862295023335,3,3
secondary/exploratory,smids,mobilenet_v3_large,clean,0,raw_softmax,11,0.7333333333333333,0.8,33,0.7706623095454592,0.7878787878787878,0.03958280318313167,0.0059184862295023335,3,3
secondary/exploratory,smids,mobilenet_v3_large,clean,0,raw_softmax,12,0.8,0.8666666666666667,44,0.8358832150697708,0.7727272727272727,0.03958280318313167,0.0059184862295023335,3,3
secondary/exploratory,smids,mobilenet_v3_large,clean,0,raw_softmax,13,0.8666666666666667,0.9333333333333333,97,0.9041289214006404,0.865979381443299,0.03958280318313167,0.0059184862295023335,3,3
secondary/exploratory,smids,mobilenet_v3_large,clean,0,raw_softmax,14,0.9333333333333333,1.0,618,0.9861022141373273,0.959546925566343,0.03958280318313167,0.0059184862295023335,3,3
secondary/exploratory,smids,mobilenet_v3_large,clean,0,temperature,0,0.0,0.06666666666666667,0,,,0.03473072419563923,0.006884672225307666,3,3
secondary/exploratory,smids,mobilenet_v3_large,clean,0,temperature,1,0.06666666666666667,0.13333333333333333,0,,,0.03473072419563923,0.006884672225307666,3,3
