analysis_tier,dataset,model,corruption_scope,severity,method,metric,signal_label,n_replicates,mean,std,clean_mean,frozen_cutoff,normalized_mean,normalized_std,crossing_severity
secondary/exploratory,smids,resnet50,defocus_blur,0,raw_softmax,accuracy,Accuracy,5,0.8966666666666667,0.007071067811865407,0.8966666666666667,0.8466666666666667,-0.0,0.141421356237308,
secondary/exploratory,smids,resnet50,defocus_blur,1,raw_softmax,accuracy,Accuracy,5,0.898,0.008027729719194836,0.8966666666666667,0.8466666666666667,-0.026666666666665926,0.16055459438389658,
secondary/exploratory,smids,resnet50,defocus_blur,2,raw_softmax,accuracy,Accuracy,5,0.8993333333333332,0.011642832797715287,0.8966666666666667,0.8466666666666667,-0.05333333333332963,0.23285665595430552,
secondary/exploratory,smids,resnet50,defocus_blur,3,raw_softmax,accuracy,Accuracy,5,0.8939999999999999,0.011879019787470219,0.8966666666666667,0.8466666666666667,0.05333333333333629,0.23758039574940415,
secondary/exploratory,smids,resnet50,defocus_blur,4,raw_softmax,accuracy,Accuracy,5,0.8866666666666667,0.0097182531580755,0.8966666666666667,0.8466666666666667,0.2,0.19436506316150984,
secondary/exploratory,smids,resnet50,defocus_blur,5,raw_softmax,accuracy,Accuracy,5,0.8766666666666666,0.007071067811865467,0.8966666666666667,0.8466666666666667,0.40000000000000224,0.1414213562373092,
secondary/exploratory,smids,resnet50,defocus_blur,0,raw_softmax,ece,ECE,5,0.0468318364024162,0.010724334451363692,0.0468318364024162,0.0936636728048324,0.0,0.22899666712216285,
secondary/exploratory,smids,resnet50,defocus_blur,1,raw_softmax,ece,ECE,5,0.0449762353698412,0.009207473985999453,0.0468318364024162,0.0936636728048324,-0.039622640817033185,0.19660715217062064,
secondary/exploratory,smids,resnet50,defocus_blur,2,raw_softmax,ece,ECE,5,0.044272757788499165,0.0070909067609223235,0.0468318364024162,0.0936636728048324,-0.0546439945665894,0.15141210137462133,
secondary/exploratory,smids,resnet50,defocus_blur,3,raw_softmax,ece,ECE,5,0.052376397073268854,0.007906899889873614,0.0468318364024162,0.0936636728048324,0.1183929800063658,0.16883599912528036,
secondary/exploratory,smids,resnet50,defocus_blur,4,raw_softmax,ece,ECE,5,0.04805472141504282,0.012762591841104074,0.0468318364024162,0.0936636728048324,0.026112258381640774,0.27251956834316265,
secondary/exploratory,smids,resnet50,defocus_blur,5,raw_softmax,ece,ECE,5,0.04320308846235272,0.009715541944040729,0.0468318364024162,0.0936636728048324,-0.0774846390579777,0.20745592507962113,
