analysis_tier,dataset,model,corruption_scope,severity,coverage,mean_risk,std_risk,n_replicates,mean_aurc,std_aurc,mean_risk_at_80,std_risk_at_80
secondary/exploratory,hushem,resnet50,clean,0,0.45,0.041368421052631575,0.05664604344724481,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.46,0.04046315789473684,0.05540646081710154,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.47000000000000003,0.039599999999999996,0.05422453319301144,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.48,0.03878095238095238,0.05310300605145325,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.49,0.03797402597402597,0.05199807656315278,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.5,0.03722943722943723,0.050978506434463514,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.51,0.03648484848484849,0.04995893630577424,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.52,0.035794466403162056,0.04901359170718166,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.53,0.03511462450592885,0.04808267985055232,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.54,0.03629710144927538,0.04980740580232851,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.55,0.03925724637681161,0.05460137113753392,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.56,0.041533333333333325,0.058737003290562535,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.5700000000000001,0.04081666666666666,0.05772348357086182,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.58,0.040100000000000004,0.05670996385116112,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.59,0.042276923076923066,0.053567798107471636,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.6,0.04492307692307692,0.050980446419777094,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.61,0.04576068376068376,0.04972052660606123,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.62,0.04502564102564102,0.04892187787835833,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.63,0.04494444444444444,0.048033262771391,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.64,0.047333333333333324,0.04740911396210338,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.65,0.04972222222222221,0.04780415777262406,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.66,0.05196551724137931,0.05138056311023188,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.67,0.05418965517241381,0.0556886259853525,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.68,0.05473103448275861,0.05723908595322778,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.6900000000000001,0.053940229885057464,0.0564120427086079,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.7000000000000001,0.05380645161290324,0.05580850266601947,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.71,0.055840860215053766,0.05635716748742308,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.72,0.057875268817204305,0.057560967491957986,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
