analysis_tier,dataset,model,corruption,severity,mean,std,n_replicates,method,metric
secondary/exploratory,hushem,resnet50,shot_noise,5,1.135522222518921,0.08711489444454276,5,raw_softmax,mean_predictive_entropy
secondary/exploratory,hushem,resnet50,defocus_blur,1,0.08571428571428567,0.07284313590846836,5,raw_softmax,risk_at_80_coverage
secondary/exploratory,hushem,resnet50,defocus_blur,2,0.0855555555555555,0.05734202504033917,5,raw_softmax,risk_at_80_coverage
secondary/exploratory,hushem,resnet50,defocus_blur,3,0.15952380952380948,0.08035493824136287,5,raw_softmax,risk_at_80_coverage
secondary/exploratory,hushem,resnet50,defocus_blur,4,0.21095238095238092,0.09469487938323748,5,raw_softmax,risk_at_80_coverage
secondary/exploratory,hushem,resnet50,defocus_blur,5,0.3814285714285714,0.09840565771025439,5,raw_softmax,risk_at_80_coverage
secondary/exploratory,hushem,resnet50,gaussian_noise,1,0.10809523809523805,0.03763110114310541,5,raw_softmax,risk_at_80_coverage
secondary/exploratory,hushem,resnet50,gaussian_noise,2,0.0909523809523809,0.05503039770165041,5,raw_softmax,risk_at_80_coverage
secondary/exploratory,hushem,resnet50,gaussian_noise,3,0.12492063492063485,0.07149820239227193,5,raw_softmax,risk_at_80_coverage
secondary/exploratory,hushem,resnet50,gaussian_noise,4,0.20507936507936506,0.08750625360080946,5,raw_softmax,risk_at_80_coverage
secondary/exploratory,hushem,resnet50,gaussian_noise,5,0.3296825396825397,0.1242457719271515,5,raw_softmax,risk_at_80_coverage
secondary/exploratory,hushem,resnet50,illumination,1,0.09126984126984125,0.06534498638884031,5,raw_softmax,risk_at_80_coverage
secondary/exploratory,hushem,resnet50,illumination,2,0.13698412698412693,0.07955453577425674,5,raw_softmax,risk_at_80_coverage
secondary/exploratory,hushem,resnet50,illumination,3,0.15396825396825392,0.09854062346138895,5,raw_softmax,risk_at_80_coverage
secondary/exploratory,hushem,resnet50,illumination,4,0.21079365079365076,0.08802299339999174,5,raw_softmax,risk_at_80_coverage
secondary/exploratory,hushem,resnet50,illumination,5,0.2844444444444444,0.05519611614133215,5,raw_softmax,risk_at_80_coverage
secondary/exploratory,hushem,resnet50,jpeg,1,0.09111111111111106,0.03762273104999645,5,raw_softmax,risk_at_80_coverage
secondary/exploratory,hushem,resnet50,jpeg,2,0.09698412698412692,0.04364502126335096,5,raw_softmax,risk_at_80_coverage
secondary/exploratory,hushem,resnet50,jpeg,3,0.1425396825396825,0.05408949965837198,5,raw_softmax,risk_at_80_coverage
secondary/exploratory,hushem,resnet50,jpeg,4,0.14857142857142852,0.10182016960688835,5,raw_softmax,risk_at_80_coverage
secondary/exploratory,hushem,resnet50,jpeg,5,0.22809523809523807,0.09776991825761017,5,raw_softmax,risk_at_80_coverage
secondary/exploratory,hushem,resnet50,motion_blur,1,0.10841269841269836,0.055247444930311404,5,raw_softmax,risk_at_80_coverage
secondary/exploratory,hushem,resnet50,motion_blur,2,0.1763492063492063,0.047699667204800573,5,raw_softmax,risk_at_80_coverage
secondary/exploratory,hushem,resnet50,motion_blur,3,0.21079365079365076,0.10876433248154567,5,raw_softmax,risk_at_80_coverage
secondary/exploratory,hushem,resnet50,motion_blur,4,0.3807936507936508,0.05992037212178255,5,raw_softmax,risk_at_80_coverage
secondary/exploratory,hushem,resnet50,motion_blur,5,0.42682539682539683,0.09950811248075954,5,raw_softmax,risk_at_80_coverage
secondary/exploratory,hushem,resnet50,resample,1,0.11984126984126978,0.06223457117496938,5,raw_softmax,risk_at_80_coverage
secondary/exploratory,hushem,resnet50,resample,2,0.13111111111111104,0.06307002591012913,5,raw_softmax,risk_at_80_coverage
secondary/exploratory,hushem,resnet50,resample,3,0.22809523809523807,0.10958073055029571,5,raw_softmax,risk_at_80_coverage
secondary/exploratory,hushem,resnet50,resample,4,0.2965079365079365,0.11661212416875615,5,raw_softmax,risk_at_80_coverage
secondary/exploratory,hushem,resnet50,resample,5,0.4893650793650794,0.11242925605254216,5,raw_softmax,risk_at_80_coverage
secondary/exploratory,hushem,resnet50,shot_noise,1,0.09111111111111106,0.05138053802344557,5,raw_softmax,risk_at_80_coverage
secondary/exploratory,hushem,resnet50,shot_noise,2,0.08539682539682533,0.045431222399995724,5,raw_softmax,risk_at_80_coverage
secondary/exploratory,hushem,resnet50,shot_noise,3,0.1306349206349206,0.0656277706706144,5,raw_softmax,risk_at_80_coverage
secondary/exploratory,hushem,resnet50,shot_noise,4,0.24460317460317454,0.07263617631282253,5,raw_softmax,risk_at_80_coverage
secondary/exploratory,hushem,resnet50,shot_noise,5,0.43793650793650796,0.07428249212927805,5,raw_softmax,risk_at_80_coverage
secondary/exploratory,smids,mobilenet_v3_large,defocus_blur,1,0.9577777777777778,0.0138777733297742,3,aps,conformal_coverage
secondary/exploratory,smids,mobilenet_v3_large,defocus_blur,2,0.9611111111111112,0.01503083250940968,3,aps,conformal_coverage
secondary/exploratory,smids,mobilenet_v3_large,defocus_blur,3,0.9755555555555556,0.010183501544346343,3,aps,conformal_coverage
secondary/exploratory,smids,mobilenet_v3_large,defocus_blur,4,0.9577777777777777,0.0038490017945974737,3,aps,conformal_coverage
secondary/exploratory,smids,mobilenet_v3_large,defocus_blur,5,0.89,0.07218802609235912,3,aps,conformal_coverage
secondary/exploratory,smids,mobilenet_v3_large,gaussian_noise,1,0.9644444444444445,0.005091750772173152,3,aps,conformal_coverage
secondary/exploratory,smids,mobilenet_v3_large,gaussian_noise,2,0.8477777777777776,0.14307470206283976,3,aps,conformal_coverage
secondary/exploratory,smids,mobilenet_v3_large,gaussian_noise,3,0.6155555555555555,0.2452738454447585,3,aps,conformal_coverage
secondary/exploratory,smids,mobilenet_v3_large,gaussian_noise,4,0.5977777777777777,0.24824569669165653,3,aps,conformal_coverage
secondary/exploratory,smids,mobilenet_v3_large,gaussian_noise,5,0.5511111111111111,0.1972683827044132,3,aps,conformal_coverage
secondary/exploratory,smids,mobilenet_v3_large,illumination,1,0.9555555555555556,0.006938886664887129,3,aps,conformal_coverage
secondary/exploratory,smids,mobilenet_v3_large,illumination,2,0.9555555555555557,0.008388704928078597,3,aps,conformal_coverage
secondary/exploratory,smids,mobilenet_v3_large,illumination,3,0.9533333333333335,0.012018504251546692,3,aps,conformal_coverage
secondary/exploratory,smids,mobilenet_v3_large,illumination,4,0.9488888888888889,0.013471506281091313,3,aps,conformal_coverage
secondary/exploratory,smids,mobilenet_v3_large,illumination,5,0.9155555555555556,0.03746603400019423,3,aps,conformal_coverage
secondary/exploratory,smids,mobilenet_v3_large,jpeg,1,0.9677777777777777,0.006938886664887156,3,aps,conformal_coverage
secondary/exploratory,smids,mobilenet_v3_large,jpeg,2,0.9633333333333334,0.010000000000000009,3,aps,conformal_coverage
secondary/exploratory,smids,mobilenet_v3_large,jpeg,3,0.9044444444444445,0.06809579309353142,3,aps,conformal_coverage
secondary/exploratory,smids,mobilenet_v3_large,jpeg,4,0.8333333333333334,0.15169413670643678,3,aps,conformal_coverage
secondary/exploratory,smids,mobilenet_v3_large,jpeg,5,0.7366666666666667,0.1217009084235246,3,aps,conformal_coverage
secondary/exploratory,smids,mobilenet_v3_large,motion_blur,1,0.9633333333333333,0.015275252316519494,3,aps,conformal_coverage
secondary/exploratory,smids,mobilenet_v3_large,motion_blur,2,0.9622222222222222,0.0138777733297742,3,aps,conformal_coverage
secondary/exploratory,smids,mobilenet_v3_large,motion_blur,3,0.9611111111111112,0.006938886664887149,3,aps,conformal_coverage
